a,b,add,mul,div
93,51,144,4743,1.8235294117647058
75,24,99,1800,3.125
1,47,48,47,0.02127659574468085
60,23,83,1380,2.608695652173913
17,5,22,85,3.4
52,9,61,468,5.777777777777778
30,29,59,870,1.0344827586206897
28,87,115,2436,0.3218390804597701
70,96,166,6720,0.7291666666666666
96,27,123,2592,3.5555555555555554
23,58,81,1334,0.39655172413793105
59,7,66,413,8.428571428571429
12,76,88,912,0.15789473684210525
83,16,99,1328,5.1875
41,79,120,3239,0.5189873417721519
72,91,163,6552,0.7912087912087912
15,70,85,1050,0.21428571428571427
36,3,39,108,12.0
11,99,110,1089,0.1111111111111111
16,8,24,128,2.0
90,77,167,6930,1.1688311688311688
5,15,20,75,0.3333333333333333
65,21,86,1365,3.0952380952380953
40,88,128,3520,0.45454545454545453
8,32,40,256,0.25
3,65,68,195,0.046153846153846156
10,46,56,460,0.21739130434782608
7,44,51,308,0.1590909090909091
21,72,93,1512,0.2916666666666667
82,68,150,5576,1.2058823529411764
38,6,44,228,6.333333333333333
26,19,45,494,1.368421052631579
81,11,92,891,7.363636363636363
39,54,93,2106,0.7222222222222222
87,17,104,1479,5.117647058823529
94,59,153,5546,1.5932203389830508
74,45,119,3330,1.6444444444444444
89,20,109,1780,4.45
71,13,84,923,5.461538461538462
79,61,140,4819,1.2950819672131149
76,18,94,1368,4.222222222222222
97,22,119,2134,4.409090909090909
67,4,71,268,16.75
95,38,133,3610,2.5
54,85,139,4590,0.6352941176470588
13,64,77,832,0.203125
85,0,85,0,inf
86,90,176,7740,0.9555555555555556
69,67,136,4623,1.0298507462686568
73,78,151,5694,0.9358974358974359
25,1,26,25,25.0
92,14,106,1288,6.571428571428571
62,35,97,2170,1.7714285714285714
98,28,126,2744,3.5
66,30,96,1980,2.2
35,34,69,1190,1.0294117647058822
14,81,95,1134,0.1728395061728395
20,63,83,1260,0.31746031746031744
31,66,97,2046,0.4696969696969697
48,97,145,4656,0.4948453608247423
63,52,115,3276,1.2115384615384615
0,53,53,0,0.0
99,92,191,9108,1.076086956521739
88,62,150,5456,1.4193548387096775
50,39,89,1950,1.2820512820512822
58,69,127,4002,0.8405797101449275
55,49,104,2695,1.1224489795918366
45,40,85,1800,1.125
22,93,115,2046,0.23655913978494625
91,10,101,910,9.1
9,57,66,513,0.15789473684210525
24,33,57,792,0.7272727272727273
2,48,50,96,0.041666666666666664
33,82,115,2706,0.4024390243902439
19,74,93,1406,0.25675675675675674
84,98,182,8232,0.8571428571428571
29,94,123,2726,0.30851063829787234
43,83,126,3569,0.5180722891566265
4,41,45,164,0.0975609756097561
37,71,108,2627,0.5211267605633803
18,56,74,1008,0.32142857142857145
80,84,164,6720,0.9523809523809523
53,80,133,4240,0.6625
34,60,94,2040,0.5666666666666667
77,26,103,2002,2.9615384615384617
51,89,140,4539,0.5730337078651685
6,42,48,252,0.14285714285714285
49,95,144,4655,0.5157894736842106
56,31,87,1736,1.8064516129032258
42,37,79,1554,1.135135135135135
32,25,57,800,1.28
46,55,101,2530,0.8363636363636363
27,75,102,2025,0.36
44,50,94,2200,0.88
64,86,150,5504,0.7441860465116279
57,2,59,114,28.5
47,36,83,1692,1.3055555555555556
61,73,134,4453,0.8356164383561644
68,12,80,816,5.666666666666667
78,43,121,3354,1.813953488372093
